current_popularity,datetime,time_bin
38,4/2/2020 15:17,2020-04-02 15:05:00
39,4/2/2020 15:27,2020-04-02 15:20:00
38,4/2/2020 15:37,2020-04-02 15:35:00
42,4/2/2020 15:53,2020-04-02 15:50:00
43,4/2/2020 16:13,2020-04-02 16:05:00
40,4/2/2020 16:23,2020-04-02 16:20:00
46,4/2/2020 16:43,2020-04-02 16:35:00
46,4/2/2020 16:53,2020-04-02 16:50:00
45,4/2/2020 17:14,2020-04-02 17:05:00
40,4/2/2020 17:24,2020-04-02 17:20:00
43,4/2/2020 17:44,2020-04-02 17:35:00
41,4/2/2020 17:54,2020-04-02 17:50:00
41,4/2/2020 18:14,2020-04-02 18:05:00
36,4/2/2020 18:24,2020-04-02 18:20:00
39,4/2/2020 18:44,2020-04-02 18:35:00
37,4/2/2020 18:54,2020-04-02 18:50:00
36,4/2/2020 19:14,2020-04-02 19:05:00
32,4/2/2020 19:24,2020-04-02 19:20:00
27,4/2/2020 19:44,2020-04-02 19:35:00
26,4/2/2020 19:54,2020-04-02 19:50:00
21,4/2/2020 20:14,2020-04-02 20:05:00
19,4/2/2020 20:24,2020-04-02 20:20:00
15,4/2/2020 20:44,2020-04-02 20:35:00
15,4/2/2020 20:55,2020-04-02 20:50:00
14,4/2/2020 21:05,2020-04-02 21:05:00
11,4/2/2020 21:25,2020-04-02 21:20:00
11,4/2/2020 21:35,2020-04-02 21:35:00
10,4/2/2020 21:55,2020-04-02 21:50:00
9,4/2/2020 22:05,2020-04-02 22:05:00
7,4/2/2020 22:25,2020-04-02 22:20:00
7,4/2/2020 22:35,2020-04-02 22:35:00
7,4/2/2020 22:55,2020-04-02 22:50:00
7,4/2/2020 23:05,2020-04-02 23:05:00
6,4/2/2020 23:25,2020-04-02 23:20:00
6,4/2/2020 23:35,2020-04-02 23:35:00
5,4/3/2020 6:08,2020-04-03 06:05:00
6,4/3/2020 6:28,2020-04-03 06:20:00
6,4/3/2020 6:38,2020-04-03 06:35:00
10,4/3/2020 6:58,2020-04-03 06:50:00
11,4/3/2020 7:08,2020-04-03 07:05:00
12,4/3/2020 7:28,2020-04-03 07:20:00
12,4/3/2020 7:38,2020-04-03 07:35:00
16,4/3/2020 7:58,2020-04-03 07:50:00
15,4/3/2020 8:08,2020-04-03 08:05:00
15,4/3/2020 8:28,2020-04-03 08:20:00
15,4/3/2020 8:38,2020-04-03 08:35:00
20,4/3/2020 8:58,2020-04-03 08:50:00
17,4/3/2020 9:08,2020-04-03 09:05:00
18,4/3/2020 9:28,2020-04-03 09:20:00
18,4/3/2020 9:38,2020-04-03 09:35:00
24,4/3/2020 9:58,2020-04-03 09:50:00
21,4/3/2020 10:08,2020-04-03 10:05:00
19,4/3/2020 10:28,2020-04-03 10:20:00
18,4/3/2020 10:38,2020-04-03 10:35:00
19,4/3/2020 10:59,2020-04-03 10:50:00
20,4/3/2020 11:09,2020-04-03 11:05:00
18,4/3/2020 11:29,2020-04-03 11:20:00
20,4/3/2020 11:39,2020-04-03 11:35:00
22,4/3/2020 11:59,2020-04-03 11:50:00
24,4/3/2020 12:09,2020-04-03 12:05:00
21,4/3/2020 12:29,2020-04-03 12:20:00
21,4/3/2020 12:39,2020-04-03 12:35:00
23,4/3/2020 12:59,2020-04-03 12:50:00
22,4/3/2020 13:09,2020-04-03 13:05:00
21,4/3/2020 13:29,2020-04-03 13:20:00
23,4/3/2020 13:39,2020-04-03 13:35:00
26,4/3/2020 13:59,2020-04-03 13:50:00
24,4/3/2020 14:09,2020-04-03 14:05:00
22,4/3/2020 14:29,2020-04-03 14:20:00
24,4/3/2020 14:39,2020-04-03 14:35:00
27,4/3/2020 14:50,2020-04-03 14:50:00
23,4/3/2020 15:10,2020-04-03 15:05:00
23,4/3/2020 15:20,2020-04-03 15:20:00
