time_bin,label,source
2020-03-23 07:05:00,,mis/imp
2020-03-23 07:20:00,,mis/imp
2020-03-23 07:35:00,,mis/imp
2020-03-23 07:50:00,,mis/imp
2020-03-23 08:05:00,,mis/imp
2020-03-23 08:20:00,,mis/imp
2020-03-23 08:35:00,,mis/imp
2020-03-23 08:50:00,,mis/imp
2020-03-23 09:05:00,,mis/imp
2020-03-23 09:20:00,,mis/imp
2020-03-23 09:35:00,,mis/imp
2020-03-23 09:50:00,,mis/imp
2020-03-23 10:05:00,,mis/imp
2020-03-23 10:20:00,,mis/imp
2020-03-23 10:35:00,,mis/imp
2020-03-23 10:50:00,,mis/imp
2020-03-23 11:05:00,,mis/imp
2020-03-23 11:20:00,,mis/imp
2020-03-23 11:35:00,,mis/imp
2020-03-23 11:50:00,,mis/imp
2020-03-23 12:05:00,,mis/imp
2020-03-23 12:20:00,,mis/imp
2020-03-23 12:35:00,,mis/imp
2020-03-23 12:50:00,,mis/imp
2020-03-23 13:05:00,,mis/imp
2020-03-23 13:20:00,,mis/imp
2020-03-23 13:35:00,,mis/imp
2020-03-23 13:50:00,,mis/imp
2020-03-23 14:05:00,,mis/imp
2020-03-23 14:20:00,,mis/imp
2020-03-23 14:35:00,0.0,mis/imp
2020-03-23 14:50:00,0.0,obs
2020-03-23 15:05:00,0.0,mis/imp
2020-03-23 15:20:00,0.0,mis/imp
2020-03-23 15:35:00,,mis/imp
2020-03-23 15:50:00,,mis/imp
2020-03-23 16:05:00,,mis/imp
2020-03-23 16:20:00,,mis/imp
2020-03-23 16:35:00,,mis/imp
2020-03-23 16:50:00,,mis/imp
2020-03-23 17:05:00,,mis/imp
2020-03-23 17:20:00,,mis/imp
2020-03-23 17:35:00,,mis/imp
2020-03-23 17:50:00,,mis/imp
2020-03-23 18:05:00,,mis/imp
2020-03-23 18:20:00,,mis/imp
2020-03-23 18:35:00,,mis/imp
2020-03-23 18:50:00,,mis/imp
2020-03-23 19:05:00,,mis/imp
2020-03-23 19:20:00,,mis/imp
2020-03-23 19:35:00,,mis/imp
2020-03-23 19:50:00,,mis/imp
2020-03-23 20:05:00,,mis/imp
2020-03-23 20:20:00,,mis/imp
2020-03-23 20:35:00,,mis/imp
2020-03-23 20:50:00,,mis/imp
2020-03-24 07:05:00,,mis/imp
2020-03-24 07:20:00,,mis/imp
2020-03-24 07:35:00,,mis/imp
2020-03-24 07:50:00,,mis/imp
2020-03-24 08:05:00,,mis/imp
2020-03-24 08:20:00,,mis/imp
2020-03-24 08:35:00,,mis/imp
2020-03-24 08:50:00,,mis/imp
2020-03-24 09:05:00,,mis/imp
2020-03-24 09:20:00,,mis/imp
2020-03-24 09:35:00,,mis/imp
2020-03-24 09:50:00,,mis/imp
2020-03-24 10:05:00,,mis/imp
2020-03-24 10:20:00,,mis/imp
2020-03-24 10:35:00,,mis/imp
2020-03-24 10:50:00,,mis/imp
2020-03-24 11:05:00,,mis/imp
2020-03-24 11:20:00,,mis/imp
2020-03-24 11:35:00,,mis/imp
2020-03-24 11:50:00,,mis/imp
2020-03-24 12:05:00,,mis/imp
2020-03-24 12:20:00,,mis/imp
2020-03-24 12:35:00,,mis/imp
2020-03-24 12:50:00,,mis/imp
2020-03-24 13:05:00,,mis/imp
2020-03-24 13:20:00,,mis/imp
2020-03-24 13:35:00,,mis/imp
2020-03-24 13:50:00,,mis/imp
2020-03-24 14:05:00,,mis/imp
2020-03-24 14:20:00,,mis/imp
2020-03-24 14:35:00,,mis/imp
2020-03-24 14:50:00,,mis/imp
2020-03-24 15:05:00,,mis/imp
2020-03-24 15:20:00,,mis/imp
2020-03-24 15:35:00,,mis/imp
2020-03-24 15:50:00,,mis/imp
2020-03-24 16:05:00,,mis/imp
2020-03-24 16:20:00,,mis/imp
